Timestamp,ElapsedSeconds,TemperatureCelsius
20260614_040615,0,39.00
20260614_040616,1,49.00
20260614_040617,2,50.00
20260614_040618,3,50.00
20260614_040619,4,51.00
20260614_040620,5,52.00
20260614_040621,6,52.00
20260614_040622,7,54.00
20260614_040623,8,52.00
20260614_040624,9,52.00
20260614_040625,10,52.00
20260614_040626,11,53.00
20260614_040627,12,54.00
20260614_040628,13,54.00
20260614_040629,14,54.00
20260614_040630,15,55.00
20260614_040631,16,54.00
20260614_040632,17,55.00
20260614_040633,18,55.00
20260614_040634,19,55.00
20260614_040635,20,56.00
20260614_040636,21,56.00
20260614_040637,22,56.00
20260614_040638,23,56.00
20260614_040639,24,57.00
20260614_040640,25,57.00
20260614_040641,26,56.00
20260614_040642,27,57.00
20260614_040643,28,56.00
20260614_040644,29,57.00
20260614_040645,30,57.00
20260614_040646,31,57.00
20260614_040647,32,57.00
20260614_040648,33,57.00
20260614_040649,34,57.00
20260614_040650,35,57.00
20260614_040651,36,56.00
20260614_040652,37,57.00
20260614_040653,38,56.00
20260614_040654,39,57.00
20260614_040655,40,57.00
20260614_040656,41,57.00
20260614_040657,42,57.00
20260614_040658,43,57.00
20260614_040659,44,57.00
20260614_040700,45,57.00
20260614_040701,46,57.00
20260614_040702,47,57.00
20260614_040703,48,57.00
20260614_040704,49,57.00
20260614_040705,50,57.00
20260614_040706,51,57.00
20260614_040707,52,57.00
20260614_040708,53,57.00
20260614_040709,54,57.00
20260614_040710,55,57.00
20260614_040711,56,57.00
20260614_040712,57,57.00
20260614_040713,58,57.00
20260614_040714,59,57.00
20260614_040715,60,57.00
