Timestamp,ElapsedSeconds,TemperatureCelsius
20260614_040750,0,39.00
20260614_040751,1,46.00
20260614_040752,2,47.00
20260614_040753,3,47.00
20260614_040754,4,48.00
20260614_040755,5,50.00
20260614_040756,6,49.00
20260614_040757,7,49.00
20260614_040758,8,49.00
20260614_040759,9,49.00
20260614_040800,10,49.00
20260614_040801,11,50.00
20260614_040802,12,50.00
20260614_040803,13,50.00
20260614_040804,14,49.00
20260614_040805,15,51.00
20260614_040806,16,51.00
20260614_040807,17,51.00
20260614_040808,18,51.00
20260614_040809,19,51.00
20260614_040810,20,50.00
20260614_040811,21,51.00
20260614_040812,22,51.00
20260614_040813,23,52.00
20260614_040814,24,51.00
20260614_040815,25,51.00
20260614_040816,26,52.00
20260614_040817,27,52.00
20260614_040818,28,51.00
20260614_040819,29,51.00
20260614_040820,30,52.00
20260614_040821,31,52.00
20260614_040822,32,52.00
20260614_040823,33,54.00
20260614_040824,34,52.00
20260614_040825,35,52.00
20260614_040826,36,54.00
20260614_040827,37,54.00
20260614_040828,38,51.00
20260614_040829,39,54.00
20260614_040830,40,54.00
20260614_040831,41,52.00
20260614_040832,42,52.00
20260614_040833,43,54.00
20260614_040834,44,52.00
20260614_040835,45,52.00
20260614_040836,46,53.00
20260614_040837,47,52.00
20260614_040838,48,54.00
20260614_040839,49,54.00
20260614_040840,50,53.00
20260614_040841,51,54.00
20260614_040842,52,54.00
20260614_040843,53,54.00
20260614_040844,54,53.00
20260614_040845,55,53.00
20260614_040846,56,53.00
20260614_040847,57,54.00
20260614_040848,58,54.00
20260614_040849,59,54.00
20260614_040850,60,54.00
